DATE,CALLSIGN,TYPE,ROTA
26/08/2019,AFL2119,SU95,
26/08/2019,WZZ2598,A320,67
26/08/2019,AUI188,E145,
26/08/2019,BTI3WX,DH8D,59
26/08/2019,BTI03X,DH8D,67
26/08/2019,BTI411,B733,74
26/08/2019,BTI35T,DH8D,73
26/08/2019,BTI6BA,DH8D,58
26/08/2019,BTI32M,B733,59
26/08/2019,LOT79M,CRJ9,
26/08/2019,DLH893,A20N,
26/08/2019,BTI447,BCS3,61
26/08/2019,BTI36V,BCS3,61
26/08/2019,BTI427,BCS3,62
26/08/2019,BTI455,DH8D,67
26/08/2019,BTI35G,B733,62
26/08/2019,BTI407,DH8D,65
26/08/2019,BTI725,BCS3,63
26/08/2019,BTI7QT,BCS3,61
26/08/2019,WZZ4AL,A320,
26/08/2019,WZZ2541,A320,
26/08/2019,BCS5780,B752,68
26/08/2019,BTI400,B733,
26/08/2019,BTI24E,DH8D,
26/08/2019,TAY987A,B734,61
26/08/2019,BTI2NY,DH8D,
26/08/2019,BTI424,BCS3,
26/08/2019,BTI8GJ,BCS3,
26/08/2019,BTI31G,DH8D,
26/08/2019,BTI733,BCS3,63
26/08/2019,BTI60K,BCS3,
26/08/2019,BTI221,B733,
26/08/2019,BTI8LQ,BCS3,
26/08/2019,BTI6RV,BCS3,
26/08/2019,BTI13F,B733,
26/08/2019,BTI7PY,BCS3,
26/08/2019,BTI74A,B735,
26/08/2019,BTI442,DH8D,
26/08/2019,BTI7KP,DH8D,
26/08/2019,BTI6A1,BCS3,
26/08/2019,BTI1M1,B735,
26/08/2019,BTI629,BCS3,
26/08/2019,BTI15P,B733,
26/08/2019,BTI2HU,BCS3,
26/08/2019,BTI32A,DH8D,
26/08/2019,IBK2LY,B738,64
26/08/2019,BTI3AK,BCS3,
26/08/2019,FIN3PU,E190,67
26/08/2019,VJT449,CL35,
26/08/2019,IBK1WA,B738,
26/08/2019,FIN1RM,E190,
26/08/2019,RYR5MQ,B738,61
26/08/2019,AFL2682,A320,70
26/08/2019,BTI32J,DH8D,63
26/08/2019,BTI772,BCS3,63
26/08/2019,BTI30Y,DH8D,68
26/08/2019,THY9DH,B738,73
26/08/2019,BTI443,DH8D,64
26/08/2019,BTI1M2,B735,58
26/08/2019,BTI8KT,DH8D,54
26/08/2019,BTI401,B733,58
26/08/2019,BTI747,BCS3,65
26/08/2019,BTI31T,DH8D,56
26/08/2019,BTI13G,B733,54
26/08/2019,RYR4WD,B738,
26/08/2019,BTI3G2,DH8D,55
26/08/2019,BTI9881,DH8D,
26/08/2019,UTA715,B735,63
26/08/2019,BTI425,BCS3,54
26/08/2019,BTI74C,DH8D,54
26/08/2019,BTI480,DH8D,63
26/08/2019,BTI25K,DH8D,59
26/08/2019,AFL2683,A320,
26/08/2019,RYR8086,B738,
26/08/2019,BTI97T,B735,67
26/08/2019,BTI1R2,B733,58
26/08/2019,THY7GB,B738,
26/08/2019,UZB103,A20N,69
26/08/2019,BTI1F5,DH8D,
26/08/2019,BTI9HP,BCS3,57
26/08/2019,BTI222,B733,60
26/08/2019,WZZ3TK,A320,59
26/08/2019,BTI34H,DH8D,
26/08/2019,BTI3BJ,BCS3,
26/08/2019,BTI4YE,B733,
26/08/2019,RYR4UW,B738,51
26/08/2019,BTI448,DH8D,
26/08/2019,BTI12H,DH8D,
